Pressure,langle,wangle,stroke,wsize,distance,lsize,margin,Target
133,132.8650897,94.72106201,54,72835,150,32380,188,Openness
120,76.77877347,87.18798321,38,76102,38,17580,70,Openness
125,178.6285143,142.4331281,51,63355,81,19262,0,Openness
151,175.8773243,155.9464283,35,76865,38,26056,57,Openness
123,61.15866225,2.606143066,46,61831,175,27878,0,Openness
147,171.7689772,145.421868,29,75568,34,23606,41,Openness
121,175.6293783,158.7500732,34,58985,119,20024,0,Openness
143,141.1217612,124.2722233,25,64487,56,20212,62,Openness
125,-173.8530123,-124.903238,47,59262,89,19867,93,Openness
152,153.7288268,112.3426821,33,90465,39,24389,64,Openness
135,171.8337095,157.4046668,48,101096,63,27813,273,Openness
146,173.1752161,153.6660512,32,66894,38,15313,31,Openness
146,175.600174,119.8490422,48,71679,92,35546,55,Openness
122,60.13102053,70.569721,44,85022,57,23654,62,Openness
122,175.6550997,149.775362,34,32500,39,2578,45,Openness
130,-38.65500366,40.48956143,48,58705,141,16465,3,Openness
148,-111.3184173,-58.94471505,20,72482,73,37971,40,Openness
122,179.1820092,140.6962848,37,47547,56,14299,0,Openness
142,151.8338112,113.9354605,43,73081,52,16074,28,Openness
